timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_256=150, topic_create_ms=0
send_ack_ms_257=152, topic_create_ms=0
send_ack_ms_258=158, topic_create_ms=0
send_ack_ms_259=155, topic_create_ms=0
send_ack_ms_260=161, topic_create_ms=0
send_ack_ms_261=158, topic_create_ms=0
send_ack_ms_262=153, topic_create_ms=0
send_ack_ms_263=161, topic_create_ms=0
send_ack_ms_264=158, topic_create_ms=0
send_ack_ms_265=163, topic_create_ms=0
send_ack_ms_266=166, topic_create_ms=0
send_ack_ms_267=164, topic_create_ms=0
send_ack_ms_268=165, topic_create_ms=0
send_ack_ms_269=161, topic_create_ms=0
send_ack_ms_270=163, topic_create_ms=0
send_ack_ms_271=166, topic_create_ms=0
send_ack_ms_272=151, topic_create_ms=0
send_ack_ms_273=159, topic_create_ms=0
send_ack_ms_274=165, topic_create_ms=0
send_ack_ms_275=240, topic_create_ms=0
send_ack_ms_276=214, topic_create_ms=0
send_ack_ms_277=280, topic_create_ms=0
send_ack_ms_278=212, topic_create_ms=0
send_ack_ms_279=193, topic_create_ms=0
send_ack_ms_280=206, topic_create_ms=0
send_ack_ms_281=204, topic_create_ms=0
send_ack_ms_282=204, topic_create_ms=0
send_ack_ms_283=154, topic_create_ms=0
send_ack_ms_284=158, topic_create_ms=0
send_ack_ms_285=148, topic_create_ms=0
send_ack_ms_286=157, topic_create_ms=0
send_ack_ms_287=156, topic_create_ms=0
send_ack_ms_288=154, topic_create_ms=0
send_ack_ms_289=154, topic_create_ms=0
send_ack_ms_290=172, topic_create_ms=0
send_ack_ms_291=154, topic_create_ms=0
send_ack_ms_292=147, topic_create_ms=0
send_ack_ms_293=157, topic_create_ms=0
send_ack_ms_294=147, topic_create_ms=0
send_ack_ms_295=150, topic_create_ms=0
send_ack_ms_296=156, topic_create_ms=0
send_ack_ms_297=155, topic_create_ms=0
send_ack_ms_298=161, topic_create_ms=0
send_ack_ms_299=162, topic_create_ms=0
send_ack_ms_300=157, topic_create_ms=0
send_ack_ms_301=148, topic_create_ms=0
send_ack_ms_302=162, topic_create_ms=0
send_ack_ms_303=164, topic_create_ms=0
send_ack_ms_304=156, topic_create_ms=0
send_ack_ms_305=165, topic_create_ms=0
send_ack_ms_306=152, topic_create_ms=0
send_ack_ms_307=157, topic_create_ms=0
send_ack_ms_308=160, topic_create_ms=0
send_ack_ms_309=164, topic_create_ms=0
send_ack_ms_310=160, topic_create_ms=0
send_ack_ms_311=167, topic_create_ms=0
send_ack_ms_312=172, topic_create_ms=0
send_ack_ms_313=157, topic_create_ms=0
send_ack_ms_314=150, topic_create_ms=0
send_ack_ms_315=158, topic_create_ms=0
send_ack_ms_316=148, topic_create_ms=0
send_ack_ms_317=158, topic_create_ms=0
send_ack_ms_318=154, topic_create_ms=0
send_ack_ms_319=142, topic_create_ms=0
send_ack_ms_320=155, topic_create_ms=0
send_ack_ms_321=157, topic_create_ms=0
send_ack_ms_322=159, topic_create_ms=0
send_ack_ms_323=160, topic_create_ms=0
send_ack_ms_324=160, topic_create_ms=0
send_ack_ms_325=154, topic_create_ms=0
send_ack_ms_326=153, topic_create_ms=0
send_ack_ms_327=165, topic_create_ms=0
send_ack_ms_328=155, topic_create_ms=0
send_ack_ms_329=159, topic_create_ms=0
send_ack_ms_330=166, topic_create_ms=0
send_ack_ms_331=162, topic_create_ms=0
send_ack_ms_332=155, topic_create_ms=0
send_ack_ms_333=160, topic_create_ms=0
send_ack_ms_334=154, topic_create_ms=0
send_ack_ms_335=161, topic_create_ms=0
send_ack_ms_336=142, topic_create_ms=0
send_ack_ms_337=157, topic_create_ms=0
send_ack_ms_338=146, topic_create_ms=0
send_ack_ms_339=154, topic_create_ms=0
send_ack_ms_340=156, topic_create_ms=0
