timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_210=36, topic_create_ms=28
send_ack_ms_211=42, topic_create_ms=31
send_ack_ms_212=37, topic_create_ms=29
send_ack_ms_213=35, topic_create_ms=29
send_ack_ms_214=2077, topic_create_ms=28
send_ack_ms_215=102, topic_create_ms=30
send_ack_ms_216=110, topic_create_ms=79
send_ack_ms_217=108, topic_create_ms=85
send_ack_ms_218=110, topic_create_ms=93
send_ack_ms_219=115, topic_create_ms=186
send_ack_ms_220=98, topic_create_ms=80
send_ack_ms_221=108, topic_create_ms=102
send_ack_ms_222=103, topic_create_ms=85
send_ack_ms_223=96, topic_create_ms=29
send_ack_ms_224=96, topic_create_ms=69
send_ack_ms_225=35, topic_create_ms=27
send_ack_ms_226=34, topic_create_ms=27
send_ack_ms_227=35, topic_create_ms=28
send_ack_ms_228=34, topic_create_ms=28
send_ack_ms_229=34, topic_create_ms=29
send_ack_ms_230=34, topic_create_ms=26
send_ack_ms_231=35, topic_create_ms=28
send_ack_ms_232=37, topic_create_ms=29
send_ack_ms_233=35, topic_create_ms=29
send_ack_ms_234=34, topic_create_ms=27
send_ack_ms_235=35, topic_create_ms=28
send_ack_ms_236=35, topic_create_ms=29
send_ack_ms_237=35, topic_create_ms=29
send_ack_ms_238=35, topic_create_ms=27
send_ack_ms_239=34, topic_create_ms=21
send_ack_ms_240=34, topic_create_ms=28
send_ack_ms_241=34, topic_create_ms=27
send_ack_ms_242=33, topic_create_ms=27
send_ack_ms_243=35, topic_create_ms=27
send_ack_ms_244=35, topic_create_ms=27
