timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_210=165, topic_create_ms=0
send_ack_ms_211=150, topic_create_ms=0
send_ack_ms_212=160, topic_create_ms=0
send_ack_ms_213=155, topic_create_ms=0
send_ack_ms_214=181, topic_create_ms=0
send_ack_ms_215=153, topic_create_ms=0
send_ack_ms_216=158, topic_create_ms=0
send_ack_ms_217=154, topic_create_ms=0
send_ack_ms_218=165, topic_create_ms=0
send_ack_ms_219=155, topic_create_ms=0
send_ack_ms_220=164, topic_create_ms=0
send_ack_ms_221=156, topic_create_ms=0
send_ack_ms_222=170, topic_create_ms=0
send_ack_ms_223=162, topic_create_ms=0
send_ack_ms_224=159, topic_create_ms=0
send_ack_ms_225=150, topic_create_ms=0
send_ack_ms_226=154, topic_create_ms=0
send_ack_ms_227=159, topic_create_ms=0
send_ack_ms_228=157, topic_create_ms=0
send_ack_ms_229=154, topic_create_ms=0
send_ack_ms_230=155, topic_create_ms=0
send_ack_ms_231=154, topic_create_ms=0
send_ack_ms_232=154, topic_create_ms=0
send_ack_ms_233=160, topic_create_ms=0
send_ack_ms_234=159, topic_create_ms=0
send_ack_ms_235=159, topic_create_ms=0
send_ack_ms_236=150, topic_create_ms=0
send_ack_ms_237=154, topic_create_ms=0
send_ack_ms_238=149, topic_create_ms=0
send_ack_ms_239=158, topic_create_ms=0
send_ack_ms_240=159, topic_create_ms=0
send_ack_ms_241=166, topic_create_ms=0
send_ack_ms_242=163, topic_create_ms=0
send_ack_ms_243=181, topic_create_ms=0
send_ack_ms_244=168, topic_create_ms=0
send_ack_ms_245=153, topic_create_ms=0
send_ack_ms_246=154, topic_create_ms=0
send_ack_ms_247=152, topic_create_ms=0
send_ack_ms_248=169, topic_create_ms=0
send_ack_ms_249=161, topic_create_ms=0
send_ack_ms_250=161, topic_create_ms=0
send_ack_ms_251=158, topic_create_ms=0
send_ack_ms_252=170, topic_create_ms=0
send_ack_ms_253=146, topic_create_ms=0
send_ack_ms_254=149, topic_create_ms=0
send_ack_ms_255=154, topic_create_ms=0
send_ack_ms_256=143, topic_create_ms=0
send_ack_ms_257=155, topic_create_ms=0
send_ack_ms_258=158, topic_create_ms=0
send_ack_ms_259=158, topic_create_ms=0
send_ack_ms_260=161, topic_create_ms=0
send_ack_ms_261=158, topic_create_ms=0
send_ack_ms_262=156, topic_create_ms=0
send_ack_ms_263=161, topic_create_ms=0
send_ack_ms_264=157, topic_create_ms=0
send_ack_ms_265=164, topic_create_ms=0
send_ack_ms_266=155, topic_create_ms=0
send_ack_ms_267=190, topic_create_ms=0
send_ack_ms_268=206, topic_create_ms=0
send_ack_ms_269=285, topic_create_ms=0
send_ack_ms_270=298, topic_create_ms=0
send_ack_ms_271=212, topic_create_ms=0
send_ack_ms_272=196, topic_create_ms=0
send_ack_ms_273=200, topic_create_ms=0
send_ack_ms_274=160, topic_create_ms=0
send_ack_ms_275=164, topic_create_ms=0
send_ack_ms_276=149, topic_create_ms=0
send_ack_ms_277=151, topic_create_ms=0
send_ack_ms_278=155, topic_create_ms=0
send_ack_ms_279=141, topic_create_ms=0
send_ack_ms_280=162, topic_create_ms=0
send_ack_ms_281=151, topic_create_ms=0
send_ack_ms_282=145, topic_create_ms=0
send_ack_ms_283=159, topic_create_ms=0
send_ack_ms_284=149, topic_create_ms=0
send_ack_ms_285=150, topic_create_ms=0
send_ack_ms_286=154, topic_create_ms=0
send_ack_ms_287=153, topic_create_ms=0
send_ack_ms_288=152, topic_create_ms=0
send_ack_ms_289=160, topic_create_ms=0
send_ack_ms_290=160, topic_create_ms=0
send_ack_ms_291=152, topic_create_ms=0
send_ack_ms_292=155, topic_create_ms=0
send_ack_ms_293=154, topic_create_ms=0
send_ack_ms_294=155, topic_create_ms=0
send_ack_ms_295=163, topic_create_ms=0
send_ack_ms_296=168, topic_create_ms=0
send_ack_ms_297=159, topic_create_ms=0
send_ack_ms_298=164, topic_create_ms=0
send_ack_ms_299=157, topic_create_ms=0
send_ack_ms_300=178, topic_create_ms=0
send_ack_ms_301=160, topic_create_ms=0
send_ack_ms_302=158, topic_create_ms=0
send_ack_ms_303=151, topic_create_ms=0
